"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","G01Q01_female","G01Q01_male","G01Q01_diverse","G01Q02","G01Q03","G01Q04_priorknow","G01Q09","G01Q05","G01Q06_javascript","G01Q06_python","G01Q06_Java","G01Q06_c","G01Q06_sql","G01Q06_julia","G01Q06_other","G01Q07","G01Q08_spss","G01Q08_jamovi","G01Q08_other","G01Q10_SQ001","G01Q10_SQ002","G01Q10_SQ003","G01Q10_SQ004","G01Q10_SQ005"
"1","","0","de-informal","228691707","2023-04-05 17:10:18","2023-04-05 17:10:18","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2023-04-05 17:59:26","1","de-informal","480535043","2023-04-05 17:41:06","2023-04-05 17:59:26","Y","","","12","Y","AO05","Test","Y","Y","","","","","Y","","Y","Y","","","Y","Y","","",""
"3","2023-04-06 10:11:38","1","de-informal","1577088275","2023-04-06 10:11:18","2023-04-06 10:11:38","Y","","","19","Y","AO04","kp","Y","","Y","","","","","","Y","Y","","","Y","","","",""
"4","","0","de-informal","1989957744","2023-04-06 14:30:40","2023-04-06 14:30:40","","","","","","","","","","","","","","","","","","","","","","","",""
"5","2023-04-11 11:20:50","1","de-informal","1737413338","2023-04-11 11:20:08","2023-04-11 11:20:50","","Y","","31","N","","","Y","Y","Y","Y","","Y","","","Y","Y","","","Y","","Y","Y",""
"6","2023-04-11 11:46:34","1","de-informal","1009533879","2023-04-11 11:46:00","2023-04-11 11:46:34","","Y","","25","N","","","Y","Y","Y","","","","","","Y","Y","Y","","Y","","","Y",""
"7","2023-04-11 11:49:57","1","de-informal","1289068574","2023-04-11 11:49:11","2023-04-11 11:49:57","","Y","","","N","","","Y","Y","Y","","Y","Y","","Y","Y","Y","Y","","Y","","Y","Y","Y"
"8","2023-04-11 11:56:30","1","de-informal","307743437","2023-04-11 11:55:50","2023-04-11 11:56:30","Y","","","24","N","","","Y","","","Y","","","","","Y","Y","Y","","Y","","","Y","Y"
"9","2023-04-11 12:27:07","1","de-informal","2104257497","2023-04-11 12:26:10","2023-04-11 12:27:07","","Y","","28","N","","","Y","Y","Y","Y","","Y","","","Y","Y","Y","","Y","Y","","Y","Y"
"10","2023-04-11 12:46:15","1","de-informal","187019350","2023-04-11 12:42:12","2023-04-11 12:46:15","Y","","","24","N","","","Y","","Y","Y","","","","","Y","Y","Y","","Y","","Y","","Y"
"11","2023-04-11 15:22:33","1","de-informal","108916071","2023-04-11 15:21:12","2023-04-11 15:22:33","","Y","","24","Y","AO01","Ich habe nur kurz etwas herumgespielt","Y","Y","Y","Y","Y","","","","Y","Y","","","Y","","Y","Y",""
"12","2023-04-11 15:42:31","1","de-informal","594859887","2023-04-11 15:41:51","2023-04-11 15:42:31","","Y","","32","N","","","Y","","Y","Y","Y","","","","Y","Y","Y","","Y","","","Y",""
"13","2023-04-11 19:25:21","1","de-informal","1315133478","2023-04-11 19:24:31","2023-04-11 19:25:21","Y","","","25","N","","","Y","","Y","Y","","","","","N","","","","Y","","Y","","Y"
"14","2023-04-11 19:42:14","1","de-informal","815979216","2023-04-11 19:40:50","2023-04-11 19:42:14","Y","","","","Y","AO02","komplexere Anwendungen/Modelle über die ersten Schritte hinaus","Y","","Y","","","","","","N","","","","","Y","Y","Y",""
